"filename", "language", "PHP", "JavaScript", "SQL", "XML", "Markdown", "JSON", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\OutlineSimple.php", "PHP", 251, 0, 0, 0, 0, 0, 0, 0, 0, 23, 62, 336
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Header.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 37
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\OpenType\File.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 19
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\OpenType\TableDirectoryEntry.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 19
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\DirectoryEntry.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 0, 29, 31, 135
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Table.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 17, 19, 93
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\cmap.php", "PHP", 216, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67, 299
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\glyf.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 0, 12, 33, 154
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\head.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 46
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\hhea.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 44
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\hmtx.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 59
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\kern.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 80
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\loca.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 80
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\maxp.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 42
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Table\Type\name.php", "PHP", 149, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 194
